Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos,Mayor desplazamiento promedio,Desviación Típica Mayor desplazamiento promedio,Máximo desplazamiento,Máximo desplazamiento porcentual
1,65,2,100,0,58.4615384615,46.4080730032,4.6153846154,3.6637952371,36.9230769231,29.3103618968,13.8461538462,10.9913857113,13.8461538462,(21.301775147928996%)
1,66,2,100,0,89.3939393939,71.5236163494,6.0606060606,4.8490587355,4.5454545455,3.6367940517,10.6060606061,8.4858527872,10.6060606061,(16.069788797061523%)
1,67,2,100,0,97.0149253731,78.2249128789,1.4925373134,1.2034601981,1.4925373134,1.2034601981,38.8059701493,31.2899651516,38.8059701493,(57.91935843172199%)
1,68,2,100,0,100,81.2494343872,0,0,0,0,26.4705882353,21.5072032201,26.4705882353,(38.927335640138416%)
1,69,2,100,0,100,81.8623800983,0,0,0,0,17.3913043478,14.2369356693,17.3913043478,(25.204788909892876%)
1,70,2,100,0,68.5714285714,56.5513879159,1.4285714286,1.1781539149,30,24.7412322132,12.8571428571,10.6033852342,12.8571428571,(18.36734693877551%)
1,71,2,100,0,78.8732394366,65.52371972,2.8169014085,2.3401328471,18.3098591549,15.2108635064,21.1267605634,17.5509963536,21.1267605634,(29.756000793493353%)
1,72,2,100,0,90.2777777778,75.5393008143,1.3888888889,1.1621430895,8.3333333333,6.9728585367,16.6666666667,13.9457170734,16.6666666667,(23.148148148148145%)
1,73,2,100,0,64.3835616438,54.2557865906,4.1095890411,3.4631353143,31.5068493151,26.5507040763,21.9178082192,18.4700550096,21.9178082192,(30.024394820791894%)
1,74,2,100,0,81.0810810811,68.806034824,2.7027027027,2.2935344941,16.2162162162,13.7612069648,18.9189189189,16.0547414589,18.9189189189,(25.566106647187727%)
1,75,2,100,0,74.6666666667,63.8010537472,8,6.8358271872,17.3333333333,14.8109589056,16,13.6716543744,16,(21.333333333333332%)
1,76,2,100,0,71.0526315789,61.1272185642,3.9473684211,3.3959565869,25,21.5077250504,50,43.0154501007,50,(65.78947368421052%)
1,77,2,100,0,72.7272727273,62.989118625,2.5974025974,2.2496113795,24.6753246753,21.3713081049,2.5974025974,2.2496113795,2.5974025974,(3.3732501264968793%)
1,78,2,100,0,71.7948717949,62.5945970671,3.8461538462,3.3532819857,24.358974359,21.2374525763,20.5128205128,17.8841705906,20.5128205128,(26.298487836949374%)
1,79,2,100,0,84.8101265823,74.4267008891,2.5316455696,2.2216925639,12.6582278481,11.1084628193,45.5696202532,39.9904661494,45.5696202532,(57.68306361160071%)
1,80,2,100,0,95,83.9084508557,2.5,2.2081171278,2.5,2.2081171278,36.25,32.0176983528,36.25,(45.3125%)
1,81,2,100,0,49.3827160494,43.8957475995,3.7037037037,3.29218107,46.9135802469,41.7009602195,41.975308642,37.3113854595,41.975308642,(51.82136869379668%)
1,82,2,100,0,53.6585365854,47.9973120647,2.4390243902,2.1816960029,43.9024390244,39.270528053,36.5853658537,32.7254400441,36.5853658537,(44.6162998215348%)
1,83,2,100,0,55.421686747,49.8832275519,8.4337349398,7.5909259318,36.1445783133,32.5325397078,54.2168674699,48.7988095617,54.2168674699,(65.321527072144%)
1,84,2,100,0,59.5238095238,53.9050145523,7.1428571429,6.4686017463,33.3333333333,30.1868081493,41.6666666667,37.7335101866,41.6666666667,(49.60317460317461%)
1,85,2,100,0,60,54.6664753703,4.7058823529,4.2875666957,35.2941176471,32.1567502178,11.7647058824,10.7189167393,11.7647058824,(13.840830449826987%)
1,86,2,100,0,69.7674418605,63.9473422486,5.8139534884,5.3289451874,24.4186046512,22.381569787,5.8139534884,5.3289451874,5.8139534884,(6.760411032990805%)
1,87,2,100,0,97.7011494253,90.0820991915,1.1494252874,1.0597894023,1.1494252874,1.0597894023,25.2873563218,23.3153668496,25.2873563218,(29.06592680671159%)
1,88,2,100,0,100,92.7423116147,0,0,0,0,9.0909090909,8.4311192377,9.0909090909,(10.330578512396695%)
1,89,2,100,0,93.2584269663,86.9912866918,2.2471910112,2.0961755829,4.4943820225,4.1923511659,35.9550561798,33.5388093269,35.9550561798,(40.3989395278374%)
1,90,2,100,0,73.3333333333,68.7971073179,3.3333333333,3.1271412417,23.3333333333,21.8899886921,12.2222222222,11.466184553,12.2222222222,(13.580246913580247%)
1,91,2,100,0,90.1098901099,85.0147482968,2.1978021978,2.0735304463,7.6923076923,7.2573565619,26.3736263736,24.8823653552,26.3736263736,(28.98200700398503%)
1,92,2,100,0,59.7826086957,56.7181870845,4.347826087,4.1249590607,35.8695652174,34.0309122507,6.5217391304,6.187438591,6.5217391304,(7.088846880907372%)
1,93,2,100,0,79.5698924731,75.9093240616,2.1505376344,2.051603353,18.2795698925,17.4386285006,29.0322580645,27.6966452657,29.0322580645,(31.217481789802292%)
1,94,2,100,0,94.6808510638,90.819932503,4.2553191489,4.0817947192,1.0638297872,1.0204486798,44.6808510638,42.858844552,44.6808510638,(47.53282028066999%)
1,95,2,100,0,83.1578947368,80.1991078167,4.2105263158,4.0607143198,12.6315789474,12.1821429595,34.7368421053,33.5008931386,34.7368421053,(36.56509695290859%)
1,96,2,100,0,80.2083333333,77.7691730402,5.2083333333,5.0499463013,14.5833333333,14.1398496437,40.625,39.3895811502,40.625,(42.317708333333336%)
1,97,2,100,0,72.1649484536,70.3415075227,3.0927835052,3.0146360367,24.7422680412,24.1170882935,26.8041237113,26.1268456513,26.8041237113,(27.63311722818578%)
1,98,2,100,1.09906472107864E-014,80.612244898,78.9877443766,1.0204081633,0.9998448655,18.3673469388,17.9972075795,22.4489795918,21.9965870416,22.4489795918,(22.907122032486466%)
1,99,2,100,0,50.5050505051,49.7442959068,3.0303030303,2.9846577544,46.4646464646,45.7647522342,5.0505050505,4.9744295907,5.0505050505,(5.101520253035404%)
1,100,2,100,0,74,73.26,3,2.97,23,22.77,13,12.87,13,(13.0%)
1,2,3,100,0,100,7.0710678119,0,0,0,0,0,0,0,(0.0%)
1,3,3,100,0,100,11.5470053838,0,0,0,0,0,0,0,(0.0%)
1,4,3,100,0,100,15,0,0,0,0,25,3.75,25,(625.0%)
1,5,3,100,0,100,17.88854382,0,0,0,0,40,7.155417528,40,(800.0%)
1,6,3,100,0,100,20.4124145232,0,0,0,0,16.6666666667,3.4020690872,16.6666666667,(277.77777777777777%)
1,7,3,100,0,100,22.6778683806,0,0,0,0,42.8571428571,9.7190864488,42.8571428571,(612.2448979591836%)
1,8,3,100,0,100,24.7487373415,0,0,0,0,37.5,9.2807765031,37.5,(468.75%)
1,9,3,100,0,100,26.6666666667,0,0,0,0,22.2222222222,5.9259259259,22.2222222222,(246.91358024691357%)
1,10,3,100,0,70,19.9223492591,20,5.6920997883,10,2.8460498942,60,17.0762993649,60,(600.0%)
1,11,3,100,0,100,30.1511344578,0,0,0,0,18.1818181818,5.4820244469,18.1818181818,(165.28925619834712%)
1,12,3,100,0,100,31.7542648054,0,0,0,0,16.6666666667,5.2923774676,16.6666666667,(138.88888888888889%)
1,13,3,100,0,69.2307692308,23.0413927663,7.6923076923,2.5601547518,23.0769230769,7.6804642554,30.7692307692,10.2406190072,30.7692307692,(236.6863905325444%)
1,14,3,100,0,57.1428571429,19.8536922564,28.5714285714,9.9268461282,14.2857142857,4.9634230641,7.1428571429,2.481711532,7.1428571429,(51.0204081632653%)
1,15,3,100,0,86.6666666667,31.328131956,6.6666666667,2.4098563043,6.6666666667,2.4098563043,40,14.4591378258,40,(266.6666666666667%)
1,16,3,100,0,81.25,30.46875,12.5,4.6875,6.25,2.34375,31.25,11.71875,31.25,(195.3125%)
1,17,3,100,0,47.0588235294,18.2615058851,41.1764705882,15.9788176495,11.7647058824,4.5653764713,17.6470588235,6.8480647069,17.6470588235,(103.80622837370242%)
1,18,3,100,0,100,40.0693842672,0,0,0,0,33.3333333333,13.3564614224,33.3333333333,(185.18518518518516%)
1,19,3,100,0,31.5789473684,13.0404732937,31.5789473684,13.0404732937,36.8421052632,15.2138855093,26.3157894737,10.8670610781,26.3157894737,(138.50415512465372%)
1,20,3,100,0,75,31.8639686794,5,2.1242645786,20,8.4970583145,30,12.7455874717,30,(150.0%)
1,21,3,100,0,38.0952380952,16.6261249704,33.3333333333,14.5478593491,28.5714285714,12.4695937278,80.9523809524,35.330515562,80.9523809524,(385.48752834467115%)
1,22,3,100,0,86.3636363636,38.6668571936,9.0909090909,4.0701954941,4.5454545455,2.035097747,59.0909090909,26.4562707114,59.0909090909,(268.59504132231405%)
1,23,3,100,0,60.8695652174,27.9227997955,21.7391304348,9.9724284984,17.3913043478,7.9779427987,39.1304347826,17.9503712971,39.1304347826,(170.13232514177693%)
1,24,3,100,0,70.8333333333,33.2552253274,8.3333333333,3.9123794503,20.8333333333,9.7809486257,12.5,5.8685691754,12.5,(52.083333333333336%)
1,25,3,100,0,48,23.04,8,3.84,44,21.12,40,19.2,40,(160.0%)
1,26,3,100,0,76.9230769231,37.7146413727,15.3846153846,7.5429282745,7.6923076923,3.7714641373,26.9230769231,13.2001244805,26.9230769231,(103.55029585798817%)
1,27,3,100,0,40.7407407407,20.3854539492,25.9259259259,12.972561604,33.3333333333,16.6790077766,29.6296296296,14.8257846903,29.6296296296,(109.73936899862825%)
1,28,3,100,0,64.2857142857,32.8019167647,25,12.7563009641,10.7142857143,5.4669861275,14.2857142857,7.2893148366,14.2857142857,(51.0204081632653%)
1,29,3,100,0,68.9655172414,35.8584101307,17.2413793103,8.9646025327,13.7931034483,7.1716820261,34.4827586207,17.9292050654,34.4827586207,(118.90606420927469%)
1,30,3,100,0,50,26.4732569461,16.6666666667,8.824418982,33.3333333333,17.6488379641,40,21.1786055569,40,(133.33333333333334%)
1,31,3,100,0,74.1935483871,39.9766639995,9.6774193548,5.2143474782,16.1290322581,8.6905791303,32.2580645161,17.3811582607,32.2580645161,(104.0582726326743%)
1,32,3,100,0,62.5,34.2504847137,12.5,6.8500969427,25,13.7001938855,6.25,3.4250484714,6.25,(19.53125%)
1,33,3,100,0,24.2424242424,13.5042060378,21.2121212121,11.8161802831,54.5454545455,30.384463585,30.303030303,16.8802575472,30.303030303,(91.82736455463728%)
1,34,3,100,0,61.7647058824,34.9554469129,17.6470588235,9.9872705465,20.5882352941,11.6518156376,61.7647058824,34.9554469129,61.7647058824,(181.66089965397924%)
1,35,3,100,0,65.7142857143,37.7663215542,8.5714285714,4.9260419418,25.7142857143,14.7781258255,45.7142857143,26.2722236898,45.7142857143,(130.6122448979592%)
1,36,3,100,0,52.7777777778,30.787037037,16.6666666667,9.7222222222,30.5555555556,17.8240740741,33.3333333333,19.4444444444,33.3333333333,(92.59259259259258%)
1,37,3,100,0,59.4594594595,35.1902697151,18.9189189189,11.1969040003,21.6216216216,12.7964617146,27.027027027,15.9955771432,27.027027027,(73.04601899196494%)
1,38,3,100,0,89.4736842105,53.7038283638,2.6315789474,1.5795243636,7.8947368421,4.7385730909,52.6315789474,31.5904872728,52.6315789474,(138.50415512465372%)
1,39,3,100,0,69.2307692308,42.126022001,12.8205128205,7.8011151854,17.9487179487,10.9215612595,38.4615384615,23.4033455561,38.4615384615,(98.61932938856017%)
1,40,3,100,0,42.5,26.2073761086,17.5,10.7912725153,40,24.6657657493,42.5,26.2073761086,42.5,(106.25%)
1,41,3,100,0,87.8048780488,54.8512724682,9.756097561,6.0945858298,2.4390243902,1.5236464574,12.1951219512,7.6182322872,12.1951219512,(29.7441998810232%)
1,42,3,100,0,71.4285714286,45.1888382032,11.9047619048,7.5314730339,16.6666666667,10.5440622474,23.8095238095,15.0629460677,23.8095238095,(56.68934240362811%)
1,43,3,100,0,41.8604651163,26.8113765515,16.2790697674,10.4266464367,41.8604651163,26.8113765515,46.511627907,29.7904183906,46.511627907,(108.16657652785288%)
1,44,3,100,0,65.9090909091,42.7255280328,15.9090909091,10.3130584907,18.1818181818,11.7863525608,52.2727272727,33.8857636122,52.2727272727,(118.80165289256198%)
1,45,3,100,0,77.7777777778,51.01547682,13.3333333333,8.745510312,8.8888888889,5.830340208,51.1111111111,33.524456196,51.1111111111,(113.58024691358023%)
1,46,3,100,0,86.9565217391,57.6946784954,4.347826087,2.8847339248,8.6956521739,5.7694678495,60.8695652174,40.3862749468,60.8695652174,(132.32514177693764%)
1,47,3,100,0,70.2127659574,47.1112887434,8.5106382979,5.7104592416,21.2765957447,14.276148104,42.5531914894,28.5522962081,42.5531914894,(90.53870529651425%)
1,48,3,100,0,70.8333333333,48.0523817794,14.5833333333,9.8931374252,14.5833333333,9.8931374252,33.3333333333,22.6128855433,33.3333333333,(69.44444444444444%)
