Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos
30,8,6,100.0,0.0,95.83333333333334,23.863489808352284,2.083333333333333,1.414903927833971,2.083333333333333,1.414903927833971
30,9,6,100.0,0.0,89.62962962962962,24.451713596810645,5.555555555555555,3.411631841863511,4.814814814814815,2.8426445351214666
30,10,6,100.0,0.0,89.33333333333333,25.917270089438215,5.666666666666666,3.325139930221817,5.0,2.919760264131287
30,2,7,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,7,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,7,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0
30,5,7,100.0,0.0,98.66666666666667,17.72290420143757,0.6666666666666667,0.8115828156551036,0.6666666666666667,0.8115828156551036
30,6,7,100.0,0.0,98.88888888888889,20.238749859731296,0.5555555555555556,0.741550483339849,0.5555555555555556,0.741550483339849
30,7,7,100.0,0.0,99.04761904761905,22.5028378874745,0.4761904761904762,0.6870074729561793,0.4761904761904762,0.6870074729561793
30,8,7,100.0,0.0,97.5,24.291791737814105,1.25,1.4331910055304322,1.25,1.4331910055304322
30,9,7,100.0,0.0,94.81481481481482,25.629249027836018,2.5925925925925926,2.329934162644034,2.5925925925925926,2.329934162644034
30,10,7,100.0,0.0,94.66666666666667,27.24688769178764,3.3333333333333335,2.9078437983419185,2.0,1.609554803871762
30,2,8,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,8,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,8,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0
30,5,8,100.0,0.0,100.0,17.88854381999832,0.0,0.0,0.0,0.0
30,6,8,100.0,0.0,100.0,20.412414523193153,0.0,0.0,0.0,0.0
30,7,8,100.0,0.0,97.14285714285714,22.23218759386806,1.4285714285714286,1.5307029451584688,1.4285714285714286,1.5307029451584688
30,8,8,100.0,0.0,98.33333333333333,24.46830432757175,1.25,1.92891242025137,0.4166666666666667,0.6429708067504566
30,9,8,100.0,0.0,97.4074074074074,26.08463181780736,1.4814814814814816,1.4767413880795732,1.1111111111111112,1.0429724326169425
30,10,8,100.0,0.0,98.33333333333333,28.058520195397975,1.0,1.2836146877730348,0.6666666666666667,0.8113089560840694
30,2,9,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,9,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,9,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0
30,5,9,100.0,0.0,98.66666666666667,17.72290420143757,0.6666666666666667,0.811582815655104,0.6666666666666667,0.811582815655104
30,6,9,100.0,0.0,100.0,20.412414523193153,0.0,0.0,0.0,0.0
30,7,9,100.0,0.0,98.09523809523809,22.41083545603293,1.4285714285714286,2.061022418868537,0.4761904761904762,0.6870074729561793
30,8,9,100.0,0.0,98.33333333333333,24.400093920584265,0.8333333333333334,0.90571104663684,0.8333333333333334,0.90571104663684
30,9,9,100.0,0.0,97.03703703703704,26.03256141690069,1.8518518518518516,2.0023229917290637,1.1111111111111112,1.042972432616942
30,10,9,100.0,0.0,98.66666666666667,28.172673915614673,1.0,1.7265572680916201,0.33333333333333337,0.5755190893638733
30,2,10,100.0,0.0,100.0,7.0710678118654755,0.0,0.0,0.0,0.0
30,3,10,100.0,0.0,100.0,11.547005383792516,0.0,0.0,0.0,0.0
30,4,10,100.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0
30,5,10,100.0,0.0,100.0,17.88854381999832,0.0,0.0,0.0,0.0
30,6,10,100.0,0.0,98.33333333333333,20.1922473204904,1.1111111111111112,1.483100966679698,0.5555555555555556,0.741550483339849
30,7,10,100.0,0.0,100.0,22.677868380553633,0.0,0.0,0.0,0.0
30,8,10,100.0,0.0,98.75,24.513429036448578,0.8333333333333334,1.2859416135009132,0.4166666666666667,0.6429708067504566
30,9,10,100.0,0.0,97.4074074074074,26.169685926946325,1.8518518518518516,2.496301180833164,0.7407407407407408,0.8546206567840385
30,10,10,100.0,0.0,98.66666666666667,28.172673915614673,1.0,1.7265572680916206,0.33333333333333337,0.5755190893638734
