n	University	Economy	Overall	Teaching	Research	International Diversity	Financial Sustainability
62	Pierre and Marie Curie University	France	79.959	95.806	68.082	73.599	42.665
293	Polytechnic Institute of New York University	USA	52.942	50.526	49.668	60.895	52.786
328	Polytechnic University of Catalonia	Spain	48.565	56.547	38.801	42.593	47.562
419	Polytechnic University of Madrid	Spain	39.533	53.243	23.536	36,14	40.668
319	Polytechnic University of Milan	Italy	49.503	43.707	50.758	45.866	58.561
380	Polytechnic University of Turin	Italy	44,08	41.888	45.064	33.567	47.404
346	Polytechnic University of Valencia	Spain	46.693	54.976	38.133	35.616	45.263
299	Pompeu Fabra University	Spain	52,19	43.029	56.047	57,42	53.837
527	Portland State University	USA	23.608	14.295	23,37	31.596	50.822
532	Prince of Songkla University	Thailand	23,21	22.712	20.214	25.783	28.763
8	Princeton University	USA	94.604	92.557	94.224	79.238	92.644
76	Purdue University	USA	77,9	62.663	88.846	67.115	85.003
384	Pusan National University	Republic of Korea	43.541	40.828	39.393	35.946	69.583
82	Queen Mary, University of London	UK	77.113	61.479	85	88.336	75.172
162	Queen's University	Canada	67,64	53.417	74.645	66.134	80,85
240	Queen's University Belfast	UK	59.388	50.223	56.906	84.927	64.501
382	Queensland University of Technology	Australia	43.979	25,39	51.093	66.633	56.883
150	Radboud University Nijmegen	Netherlands	69.476	63.737	70.969	62.691	74.275
128	Rensselaer Polytechnic Institute	USA	72.608	61.778	80.327	50.414	88.946
44	Rice University	USA	82.724	80.255	82.385	68.401	85.161
549	Riga Technical University	Latvia	19.635	25.991	11.424	16.764	24.851
455	RMIT University	Australia	35.541	25,77	31.606	81.549	34.466
209	Royal College of Surgeons in Ireland	Ireland	63.012	45,08	72.123	70.664	74.713
220	Royal Holloway, University of London	UK	61,63	51.759	62,15	86.837	55.936
46	Royal Institute of Technology (KTH)	Sweden	82.331	87,03	73.585	76.516	80.671
231	Ruhr University Bochum	Germany	60.687	48.486	65.686	64.661	69,77
35	Heidelberg University	Germany	84.229	91.211	74,4	83.758	70.266
77	Rutgers the State University of New Jersey	USA	77.849	63.894	94.113	40.078	85.539
111	RWTH Aachen University	Germany	74.021	87.216	61.013	70.528	52.772
300	Saint Petersburg State University	Russia	52.001	77.658	25.129	52.643	39.253
461	San Diego State University	USA	34.922	12.592	54.029	23.667	51.801
343	Sapienza University of Rome	Italy	47.114	43.335	48.232	50.379	40.398
297	School of Oriental and African Studies	UK	52.367	71.409	27.184	74.808	37,36
434	Sechenov First Moscow State Medical University	Russia	37.761	55.301	17.863	37.622	35.985
333	Semmelweis University	Hungary	48,12	53.915	36.587	52.194	53.957
126	Seoul National University	Republic of Korea	72.911	81.494	61.946	50.447	85.598
170	Shanghai Jiao Tong University	China	67.292	81.616	53.797	41,84	70.388
524	Shanghai University	China	24.414	23.578	22.375	14.174	41,4
261	Sharif University of Technology	Iran	56.339	51.827	61.398	23.947	72.704
525	Sheffield Hallam University	UK	24.025	14.428	24.096	50,62	29.718
541	Siberian Federal University	Russia	21.514	39,83	6.805	4.158	17.337
442	Sichuan University	China	37.027	48.721	25.959	13.566	48.641
337	Simon Fraser University	Canada	47.673	25.905	56.434	69.715	67.139
102	St. George's University of London	UK	75,19	60.012	85.404	67.669	82.513
4	Stanford University	USA	97.225	97,21	98.472	69.056	92.192
163	State University of Campinas (Unicamp)	Brazil	67.621	84,19	52.472	31,61	79.848
323	State University of New York, Albany	USA	49.025	41.944	47,34	46.059	76.851
483	State University of New York, Binghamton	USA	32.005	23.664	31.837	33.693	58,9
138	State University of New York, Buffalo	USA	71.943	64.014	73.633	66.368	83.754
188	Stockholm University	Sweden	65.393	42.623	84.555	63.083	63.922
534	Sultan Qaboos University	Oman	23.053	22.499	9.482	51.384	47.913
332	Sungkyunkwan University	Republic of Korea	48.183	37.285	50.676	36.591	84,57
341	Swansea University	UK	47.131	36.447	49.637	59.296	55.659
119	Swedish University of Agricultural Sciences	Sweden	73,49	74.027	74.055	38.829	84.168
429	Swinburne University of Technology	Australia	38.221	19.401	43.714	64.491	57.344
437	Taipei Medical University	Taiwan	37,41	26.761	39.847	26.779	75.324
531	Tallinn University of Technology	Estonia	23.262	22.368	17.271	25.599	44.612
557	Tamkang University	Taiwan	16.471	8.242	17.978	21,49	36.391
130	Technical University of Denmark	Denmark	72.534	79,81	60,59	75.137	67.197
359	Technical University of Lisbon	Portugal	45.965	43,24	44,12	43.829	54.489
66	Technical University of Munich	Germany	78.957	85,55	70.331	82,57	58.337
107	Technion Israel Institute of Technology	Israel	74.532	62.489	84.919	51.074	85.035
204	Tehran University of Medical Sciences	Iran	63.508	83,13	50.931	14.393	66.243
172	Tel Aviv University	Israel	67.013	52.472	77.495	46.933	87.197
129	Texas A&M University	USA	72.561	55.091	91.621	52.541	65.089
438	Texas Tech University	USA	37.359	27.645	41,83	26.067	62.423
517	Thammasat University	Thailand	26.313	21.153	29.775	28.842	22,8
298	Tianjin University	China	52.327	72.085	37,47	15.454	54.522
288	Tilburg University	Netherlands	53,39	34.954	63.488	58.339	69.104
57	Tohoku University	Japan	80.632	86.523	76.358	45.311	87.276
29	Tokyo Institute of Technology	Japan	85.252	90,86	83.062	49.274	82.902
153	Tokyo Medical and Dental University	Japan	69.348	82,99	62.259	23.079	69.344
285	Tokyo Metropolitan University	Japan	53.918	50.308	59.948	23.355	60.359
217	Tokyo University of Agriculture and Technology	Japan	62.167	68.643	61.008	25,03	59.881
362	Tokyo University of Science	Japan	45.656	33.615	57.956	27.058	51.251
493	Tomsk Polytechnic University	Russia	30,63	46.069	11.468	39.394	27.317
317	Tongji University	China	50.147	59.973	37.256	45.923	52.486
373	Toyohashi University of Technology	Japan	44.441	45.904	36.929	36.598	66.639
567	Transport and Telecommunication Institute	Latvia	7,46	5.332	5.542	7.293	23.818
174	Trinity College Dublin	Ireland	66,83	60.397	63.001	86.823	69.463
87	Tsinghua University	China	76,78	87.229	63.179	60.514	84,62
22	Tufts University	USA	88.371	85.985	91.508	59.386	89.423
212	Umeå University	Sweden	62.775	44.273	75.805	61.982	68.852
495	United Arab Emirates University	United Arab Emirates	30.482	30.032	14.694	82.403	35.659
530	Universidad Autonoma de Nuevo Leòn	Mexico	23.267	23.572	21.314	18.108	29.153
515	Universidade Federal do Ceará	Brazil	26.793	39.582	15.218	18.024	22.222
516	Universiti Putra Malaysia	Malaysia	26.529	27,89	18.661	30.727	42.886
566	Universiti Utara Malaysia	Malaysia	11.095	11.091	1.865	47.908	7.731
203	University Catholique de Louvain	Belgium	63.534	55.563	64.036	69,46	70.553
351	University College Cork	Ireland	46.568	29.235	50.981	70.252	64.048
213	University College Dublin	Ireland	62.667	44.639	70.811	75.678	73.199
13	University College London	UK	91.305	86.089	88.182	98.103	92.227
505	University Institute of Lisbon	Portugal	28.052	27.003	24.924	28.833	37.216
142	University of Aberdeen	UK	70.918	59.858	73.525	84,46	71.442
185	University of Adelaide	Australia	65.653	45.475	73.933	82.937	79.635
295	University of Akron	USA	52,49	55.264	52.161	35.485	43.603
124	University of Alberta	Canada	73.125	59.246	78.073	74.479	89.106
63	University of Amsterdam	Netherlands	79.551	65.289	92.264	64.234	78,72
252	University of Antwerp	Belgium	57,98	50.809	54.423	66.734	78.488
122	University of Arizona	USA	73.219	73.923	71.346	50.566	80.688
194	University of Arkansas	USA	64.781	53.291	74.963	36.378	82.513
254	University of Auckland	New Zealand	57.313	43.308	58.949	92.223	55.833
228	University of Barcelona	Spain	61,01	63.721	57.459	58.867	47.444
424	University of Bari	Italy	39.386	28.168	46.218	34.503	52.565
45	University of Basel	Switzerland	82.601	84.393	79.435	82.869	61.727
198	University of Bath	UK	64.471	54.871	63.306	86.251	68.231
137	University of Bergen	Norway	71.963	68,64	71.925	75,44	60.128
81	University of Bern	Switzerland	77.186	64.103	87.097	72,75	72,09
108	University of Birmingham	UK	74.498	59.862	82.277	77.888	78.234
264	University of Bologna	Italy	55,98	58.448	54.077	52.615	39.014
